Date,Open,High,Low,Close,Volume
2023-01-03,85.45999908447266,86.95999908447266,84.20999908447266,85.81999969482422,76706000
2023-01-04,86.55000305175781,86.9800033569336,83.36000061035156,85.13999938964844,68885100
2023-01-05,85.33000183105469,85.41999816894531,83.06999969482422,83.12000274658203,67930800
2023-01-06,83.02999877929688,86.4000015258789,81.43000030517578,86.08000183105469,83303400
2023-01-09,87.45999908447266,89.4800033569336,87.08000183105469,87.36000061035156,65266100
2023-01-10,87.56999969482422,90.19000244140625,87.29000091552734,89.87000274658203,67756600
2023-01-11,90.93000030517578,95.26000213623047,90.93000030517578,95.08999633789062,103126200
2023-01-12,96.93000030517578,97.19000244140625,93.5,95.2699966430664,85254800
2023-01-13,94.18000030517578,98.37000274658203,94.12000274658203,98.12000274658203,85549400
2023-01-17,98.68000030517578,98.88999938964844,95.7300033569336,96.05000305175781,72755000
2023-01-18,97.25,99.31999969482422,95.37999725341797,95.45999908447266,79570400
2023-01-19,94.73999786376953,95.44000244140625,92.86000061035156,93.68000030517578,69002700
2023-01-20,93.86000061035156,97.3499984741211,93.19999694824219,97.25,67481500
2023-01-23,97.55999755859375,97.77999877929688,95.86000061035156,97.5199966430664,76501100
2023-01-24,96.93000030517578,98.08999633789062,96.0,96.31999969482422,66929500
2023-01-25,92.55999755859375,97.23999786376953,91.5199966430664,97.18000030517578,94261600
2023-01-26,98.23999786376953,99.48999786376953,96.91999816894531,99.22000122070312,68523600
2023-01-27,99.52999877929688,103.48999786376953,99.52999877929688,102.23999786376953,87775600
2023-01-30,101.08999633789062,101.73999786376953,99.01000213623047,100.55000305175781,70691900
2023-01-31,101.16000366210938,103.3499984741211,101.13999938964844,103.12999725341797,66527300
2023-02-01,102.52999877929688,106.23999786376953,101.23999786376953,105.1500015258789,80450100
2023-02-02,110.25,114.0,108.87999725341797,112.91000366210938,158154200
2023-02-03,105.26000213623047,108.77999877929688,102.5199966430664,103.38999938964844,144374800
2023-02-06,102.93000030517578,103.94999694824219,100.6500015258789,102.18000030517578,81945200
2023-02-07,101.16999816894531,102.41000366210938,98.08000183105469,102.11000061035156,119501300
2023-02-08,102.04000091552734,102.66999816894531,98.77999877929688,100.05000305175781,75878300
2023-02-09,101.31999969482422,101.77999877929688,97.56999969482422,98.23999786376953,64622500
2023-02-10,97.55999755859375,98.81999969482422,96.2300033569336,97.61000061035156,52740100
2023-02-13,97.8499984741211,99.68000030517578,96.91000366210938,99.54000091552734,52841500
2023-02-14,98.41000366210938,100.91999816894531,97.5199966430664,99.69999694824219,56202900
2023-02-15,99.08999633789062,101.16999816894531,98.44999694824219,101.16000366210938,47957600
2023-02-16,99.20999908447266,100.62999725341797,98.0999984741211,98.1500015258789,56339200
2023-02-17,97.80000305175781,97.94000244140625,95.6500015258789,97.19999694824219,60029400
2023-02-21,95.33999633789062,95.61000061035156,94.2699966430664,94.58000183105469,56580400
2023-02-22,95.0999984741211,97.01000213623047,94.80000305175781,95.79000091552734,59534100
2023-02-23,96.12000274658203,96.43000030517578,93.66999816894531,95.81999969482422,48467000
2023-02-24,93.52999877929688,94.13999938964844,92.31999969482422,93.5,57053800
2023-02-27,94.27999877929688,94.77999877929688,93.13999938964844,93.76000213623047,47470300
2023-02-28,93.13999938964844,94.69000244140625,92.91999816894531,94.2300033569336,43959300
2023-03-01,93.87000274658203,94.68000030517578,91.58999633789062,92.16999816894531,52299500
2023-03-02,91.41000366210938,92.2300033569336,90.38999938964844,92.12999725341797,55509400
2023-03-03,92.73999786376953,94.94000244140625,92.66000366210938,94.9000015258789,55759600
2023-03-06,95.19000244140625,96.55000305175781,93.73999786376953,93.75,52112400
2023-03-07,94.05999755859375,95.08999633789062,92.77999877929688,93.55000305175781,49100700
2023-03-08,93.5999984741211,94.16999816894531,92.18000030517578,93.91999816894531,44899100
2023-03-09,93.68000030517578,96.20999908447266,92.18000030517578,92.25,56218700
2023-03-10,92.66999816894531,93.56999969482422,90.25,90.7300033569336,69827500
2023-03-13,89.97000122070312,94.0199966430664,88.12000274658203,92.43000030517578,72397100
2023-03-14,93.83000183105469,95.06999969482422,92.70999908447266,94.87999725341797,60912700
