entry_time,entry_price,entry_confidence,shares,cost_basis,adds,scale_in_value,exit_time,exit_price,return_pct,holding_days
2023-03-16,150.27299535550645,,120.0,150.27299535550645,0,0.0,2023-08-07,180.12014578481444,0.19861952148286832,144
2023-09-05,186.453699999912,,165.0,186.453699999912,0,0.0,2023-09-07,173.48074295917408,-0.06957736446497997,2
