Date,Open,High,Low,Close,Volume,openinterest
2023-01-03,128.4681939201586,129.07956676089162,122.44316513126005,123.33065032958984,112117500,0
2023-01-04,125.1253349737568,126.87072372434358,123.34050912530462,124.60270690917969,89113600,0
2023-01-05,125.3619828345772,125.9930816643783,123.02494756660151,123.28132629394531,80962700,0
2023-01-06,124.25757880895641,128.4780480462767,123.15315196037015,127.81736755371094,87754700,0
2023-01-09,128.65553802002677,131.55465346679887,128.08360234953716,128.33998107910156,70790800,0
2023-01-10,128.44844617850507,129.43453900512318,126.33820813140562,128.9119110107422,63896200,0
2023-01-11,129.4246914378982,131.6532559460779,128.64568467754964,131.633544921875,69458900,0
2023-01-12,132.0181218476768,132.3928269168101,129.61205277186403,131.55465698242188,71379600,0
2023-01-13,130.19386494625152,133.0436732754904,129.82901533053348,132.88589477539062,57809700,0
2023-01-17,132.9549052915621,135.38068535895238,132.26464328240974,134.04946899414062,63646600,0
2023-01-18,134.91724588612811,136.68234566241608,133.15213106325567,133.3296356201172,69672800,0
2023-01-19,132.21534095915428,134.35516079708475,131.90965456039046,133.3887939453125,58280400,0
2023-01-20,133.3986594670003,136.10055969629155,132.3534032973474,135.95263671875,80223600,0
2023-01-23,136.19915953850284,141.32685514540398,135.9822178760608,139.1475830078125,81760300,0
2023-01-24,138.35870860544603,141.1690797184196,138.34885309206118,140.54783630371094,66435100,0
2023-01-25,138.93063463423644,140.44921115138996,136.87955949987148,139.88714599609375,65799300,0
2023-01-26,141.178940100887,142.2439224000094,139.92659771489312,141.9579620361328,54105100,0
2023-01-27,141.16906148730033,145.18245171809102,141.09017225065355,143.90052795410156,70555800,0
2023-01-30,142.9440557695909,143.52584706043817,140.863398823187,141.0113067626953,64015300,0
2023-01-31,140.71544123571715,142.33263284521934,140.30128406034757,142.2833251953125,65874500,0
2023-02-01,141.96778362091698,144.57106804774983,139.35464368271474,143.407470703125,77663600,0
2023-02-02,146.82922262442523,149.07751316889315,146.10937904089744,148.7225341796875,118339000,0
2023-02-03,145.97132678498124,155.1913011660709,145.77411121969988,152.35134887695312,154357300,0
2023-02-06,150.44820252682044,150.97083056548323,148.68308779153134,149.619873046875,69858300,0
2023-02-07,148.54504029445562,153.07120329051187,148.54504029445562,152.499267578125,83322600,0
2023-02-08,151.73999993153234,152.4302620416696,149.06768120571854,149.8072509765625,64120100,0
2023-02-09,151.64140046684096,152.18375469815612,148.32812694513675,148.77186584472656,56007100,0
2023-02-10,147.60648709847575,149.46316214008027,147.3694580195322,149.1372528076172,57450700,0
2023-02-13,149.0780171748983,152.34696638235076,149.04839042017383,151.9420623779297,62199000,0
2023-02-14,150.23348636384839,151.8630330104811,148.98911761787627,151.3000946044922,61707600,0
2023-02-15,151.21121650909475,153.57157647071767,150.98407305919312,153.4036865234375,65573800,0
2023-02-16,151.6062554560653,154.39129073768956,151.44825113314346,151.8037872314453,68167900,0
2023-02-17,150.46067113597059,151.1026042766419,148.97927305482702,150.65818786621094,59144100,0
2023-02-21,148.33729678255915,149.4236611977066,146.56950203742764,146.6386260986328,58867200,0
2023-02-22,147.02379633351947,148.0904046122651,145.3350111943411,147.0633087158203,51011300,0
2023-02-23,148.22867140254277,148.47557105445037,145.41402441253163,147.54722595214844,48394200,0
2023-02-24,145.28564318748033,145.3646528906462,143.91288161778817,144.89060974121094,55469600,0
2023-02-27,145.8781840387877,147.32006943922315,145.6213987790375,146.0855712890625,44998500,0
2023-02-28,145.22638831235219,147.23121241896578,145.0091153980784,145.58192443847656,50547000,0
2023-03-01,145.0091039171703,145.40413732845008,143.2116672358624,143.50794982910156,55479000,0
2023-03-02,142.58950014966683,144.89060684866965,142.11544194013547,144.10052490234375,52238100,0
2023-03-03,146.20408774818284,149.236022634522,145.50290119247913,149.15701293945312,70732300,0
2023-03-06,151.88277460629178,154.36165661510182,151.55688034550414,151.9222869873047,87558000,0
2023-03-07,151.79390348554702,152.11981283549997,149.25578289163562,149.71995544433594,56182000,0
2023-03-08,150.91494388116536,151.5667625921133,149.94710144553787,150.9741973876953,47204800,0
2023-03-09,151.65564226284476,152.62348469471294,148.36693703717327,148.72247314453125,53833600,0
2023-03-10,148.34717096498875,149.0681136196498,145.7794089470896,146.6583709716797,68572400,0
2023-03-13,145.97694231528436,151.2408445051467,145.86830586973156,148.6039581298828,84457100,0
2023-03-14,149.4039106364519,151.49761478500946,148.23855155589501,150.69766235351562,73695900,0
2023-03-15,149.31503194180715,151.34948260848185,148.06077752387876,151.09271240234375,77167900,0
2023-03-16,150.27302515053125,154.51970266888276,149.75946959563373,153.91726684570312,76161100,0
2023-03-17,154.14435155160515,154.79617007623366,152.3666715160523,153.07774353027344,98944600,0
2023-03-20,153.14693686632677,155.86283327756414,152.23833280571804,155.44802856445312,73641400,0
2023-03-21,155.3689878125348,157.4231792271752,154.59864719510006,157.30467224121094,73938300,0
2023-03-22,157.32445173541882,160.12922799549253,155.85292447362312,155.8726806640625,75701800,0
2023-03-23,156.8602488398289,159.54651757624785,155.72450168762427,156.95899963378906,67622100,0
2023-03-24,156.88991856429575,158.35156031348998,155.89244937558198,158.26268005371094,59196500,0
2023-03-27,157.95654089676907,158.77624963861064,155.91220432321953,156.31712341308594,52390300,0
2023-03-28,156.01093927220384,156.52449472162644,154.04561279409856,155.6949005126953,45992200,0
2023-03-29,157.39358278783644,159.05275625859912,157.37384166607825,158.77622985839844,51305700,0
2023-03-30,159.5268031814781,160.45514829132492,159.27003296644855,160.3465118408203,49501700,0
2023-03-31,160.42551172065657,162.95376161088404,159.90208569195596,162.85499572753906,68749800,0
2023-04-03,162.23282167038158,164.22775993608965,162.18343872786127,164.1092529296875,56976200,0
2023-04-04,164.5339454319251,164.77095946962157,163.06241797980005,163.5759735107422,46278300,0
2023-04-05,162.69699871298138,163.00315186770885,159.79345641920935,161.72914123535156,51511700,0
2023-04-06,160.41564039126865,162.91427882271006,159.99098020805553,162.6179962158203,45390100,0
2023-04-10,159.41816361866267,160.02059936523438,158.09478511621296,160.02059936523438,47716900,0
2023-04-11,160.33664331436313,160.34651387560373,158.5194503856298,158.8058624267578,47644200,0
2023-04-12,159.22063801456596,160.05021717246308,157.79849370413785,158.11453247070312,50133100,0
2023-04-13,159.62558033741385,163.74386504702863,159.4181779828813,163.5068359375,68445600,0
2023-04-14,162.54887238387545,164.25742904768416,161.78843220704118,163.16119384765625,49386500,0
2023-04-17,163.04264500551295,163.33892759169828,161.99579292794192,163.180908203125,41516200,0
2023-04-18,164.04014141829643,165.33389323571308,163.59570997116356,164.40554809570312,49923000,0
2023-04-19,163.74384033117565,166.0745734796078,163.4870550672227,165.5511474609375,47720200,0
2023-04-20,164.03024493447634,165.78816920558748,163.50681889136789,164.5832977294922,52456400,0
2023-04-21,163.00315275355902,164.38578477260316,162.45009994594136,162.97352600097656,58337300,0
2023-04-24,162.95376899838274,163.54633418620037,161.85753394961128,163.27967834472656,41949600,0
2023-04-25,163.14143254265787,164.24753827035505,161.69953180228663,161.73904418945312,48714100,0
2023-04-26,161.0378252295865,163.23029532612622,160.78105501874768,161.72914123535156,45498800,0
2023-04-27,163.14141866066578,166.46962119212645,163.14141866066578,166.3214874267578,64902300,0
2023-04-28,166.40048449959994,167.74361912541863,165.79804878354395,167.57571411132812,55275900,0
2023-05-01,167.18066329991268,168.33615167039042,166.5486008988935,167.48681640625,52472900,0
2023-05-02,167.98064044655123,168.2374257243008,165.46226102978648,166.44985961914062,48425700,0
2023-05-03,167.39796271242133,168.80035091617836,165.08698560494395,165.37338256835938,65136000,0
